"     Date,        Time,      Elapsed,    Chan_1_740.0"
"2026-02-16, 00:42:10.509,    0.047,         -2.7400"
"2026-02-16, 00:42:10.525,    0.063,         -2.7400"
"2026-02-16, 00:42:10.603,    0.141,         -2.7400"
"2026-02-16, 00:42:10.618,    0.156,         -2.7400"
"2026-02-16, 00:42:10.696,    0.234,         -2.7400"
"2026-02-16, 00:42:10.712,    0.250,         -2.7400"
"2026-02-16, 00:42:10.790,    0.328,         -2.7400"
"2026-02-16, 00:42:10.806,    0.344,         -2.7400"
"2026-02-16, 00:42:10.884,    0.422,         -2.7400"
"2026-02-16, 00:42:10.915,    0.453,         -2.7400"
"2026-02-16, 00:42:10.978,    0.516,         -2.7400"
"2026-02-16, 00:42:11.071,    0.609,         -2.7400"
"2026-02-16, 00:42:11.165,    0.703,         -2.7400"
"2026-02-16, 00:42:11.259,    0.797,         -2.7400"
"2026-02-16, 00:42:11.368,    0.906,         -2.7400"
"2026-02-16, 00:42:11.446,    0.984,         -2.7400"
"2026-02-16, 00:42:11.540,    1.078,         -2.7400"
"2026-02-16, 00:42:11.634,    1.172,         -2.7400"
"2026-02-16, 00:42:11.728,    1.266,         -2.7400"
"2026-02-16, 00:42:11.837,    1.375,         -2.7400"
"2026-02-16, 00:42:11.931,    1.469,         -2.7400"
"2026-02-16, 00:42:12.025,    1.563,         -2.7400"
"2026-02-16, 00:42:12.118,    1.656,         -2.7400"
"2026-02-16, 00:42:12.212,    1.750,         -3.9400"
"2026-02-16, 00:42:12.306,    1.844,         -3.9400"
"2026-02-16, 00:42:12.400,    1.938,         -3.9400"
"2026-02-16, 00:42:12.493,    2.031,         -3.9400"
"2026-02-16, 00:42:12.587,    2.125,         -3.9400"
"2026-02-16, 00:42:12.681,    2.219,         -3.9400"
"2026-02-16, 00:42:12.790,    2.328,         -3.9400"
"2026-02-16, 00:42:12.884,    2.422,         -3.9400"
"2026-02-16, 00:42:12.978,    2.516,         -3.9400"
"2026-02-16, 00:42:13.071,    2.609,         -3.9400"
"2026-02-16, 00:42:13.181,    2.719,         -3.9400"
"2026-02-16, 00:42:13.275,    2.813,         -3.9400"
"2026-02-16, 00:42:13.368,    2.906,         -3.9400"
